Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Kevin Danso,at AUT,DF,Tottenham,25,1998,10,842,84,24.6,9.4,9,89,8,1,45,0,0.8,1.17,1.91,-0.74,-0.75,-0.96,1.24,1.81,-0.56,-0.57,-0.59
Ben Davies,wls WAL,DF,Tottenham,31,1993,17,1331,78,38.9,14.8,14,88,13,3,33,7,1,1.49,1.76,-0.27,-0.27,-0.4,1.28,1.72,-0.44,-0.44,-0.53
Harvey Davies,eng ENG,GK,Liverpool,20,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
Leif Davis,eng ENG,DF,Ipswich Town,24,2000,33,2743,83,80.2,30.5,32,85,27,1,10,0,0.52,0.95,2.26,-1.31,-1.31,-0.51,0.96,1.95,-0.99,-0.99,0.1
Craig Dawson,eng ENG,DF,Wolves,34,1990,15,971,65,28.4,10.8,10,89,9,5,17,6,0.87,1.48,2.31,-0.83,-0.83,-0.61,0.98,1.73,-0.75,-0.75,-0.51
Kevin De Bruyne,be BEL,"MF,FW",Manchester City,33,1991,28,1702,61,49.8,18.9,19,83,7,9,15,5,1.82,2.22,1.01,1.22,1.22,0.95,1.82,1.12,0.7,0.7,0.32
Bobby De Cordova-Reid,jm JAM,FW,Leicester City,31,1993,23,744,32,21.8,8.3,9,67,0,14,10,9,0.65,1.08,2.05,-0.96,-0.97,0.34,0.86,1.76,-0.9,-0.9,0.17
Liam Delap,eng ENG,FW,Ipswich Town,21,2003,37,2593,70,75.8,28.8,32,78,3,5,18,0,0.59,0.87,2.01,-1.15,-1.15,0.27,0.89,1.81,-0.92,-0.92,0.37
Sepp van den Berg,nl NED,DF,Brentford,22,2001,31,2586,83,75.6,28.7,29,88,25,2,18,1,1.55,1.88,1.71,0.17,0.17,-0.26,1.67,1.53,0.14,0.14,0.18
Will Dennis,eng ENG,GK,Bournemouth,24,2000,0,,,,,0,,0,0,,21,,,,,,,,,,,
Justin Devenny,nir NIR,MF,Crystal Palace,20,2003,23,507,22,14.8,5.6,4,68,0,19,12,7,1.65,1.43,1.43,0,0,0,1.5,1.63,-0.13,-0.12,-0.49
Alfie Devine,eng ENG,MF,Tottenham,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,25,1998,13,264,20,7.7,2.9,2,67,0,11,12,13,2.15,2.07,1.03,1.03,1.02,0.51,1.86,1.31,0.55,0.56,0.02
Amad Diallo,ci CIV,"MF,FW",Manchester Utd,22,2002,26,1901,73,55.6,21.1,20,87,14,6,28,2,1.08,1.33,1.42,-0.09,-0.09,0.38,1.51,1.49,0.02,0.02,0.12
Rúben Dias,pt POR,DF,Manchester City,27,1997,27,2271,84,66.4,25.2,25,90,25,2,11,0,2.11,1.98,0.83,1.15,1.15,1.23,1.83,1.14,0.69,0.69,0.46
Luis Díaz,co COL,FW,Liverpool,27,1997,36,2399,67,70.1,26.7,28,79,7,8,24,2,2.25,2.51,0.79,1.72,1.73,1.81,2.29,0.93,1.36,1.36,0.71
Tyler Dibling,eng ENG,"FW,MF",Southampton,18,2006,33,1874,57,54.8,20.8,20,76,8,13,27,1,0.27,0.77,2.4,-1.63,-1.63,-0.12,0.94,2.33,-1.39,-1.39,-0.04
Lucas Digne,fr FRA,DF,Aston Villa,31,1993,32,2351,73,68.7,26.1,28,80,13,4,30,6,1.59,1.3,1.38,-0.08,-0.08,-0.83,1.25,1.33,-0.08,-0.08,-0.75
Issa Diop,fr FRA,DF,Fulham,27,1997,21,1339,64,39.2,14.9,15,86,13,6,8,9,1.52,1.28,1.28,0,0,0,1.08,1.32,-0.23,-0.23,-0.46
Axel Disasi,fr FRA,DF,Aston Villa,26,1998,7,490,70,14.3,5.4,5,90,5,2,20,4,1.57,1.48,1.67,-0.19,-0.18,-0.43,1.52,1.93,-0.41,-0.41,-0.66
Axel Disasi,fr FRA,DF,Chelsea,26,1998,6,364,61,10.6,4,4,79,2,2,24,9,2.17,1.25,0.75,0.5,0.49,-0.07,2.38,1.57,0.8,0.79,0.28
Roman Dixon,eng ENG,DF,Everton,19,2004,1,90,90,2.6,1,1,90,1,0,,7,0,0,4,-4,-4,-4.05,1,2.4,-1.5,-1.45,-1.37
Nasser Djiga,bf BFA,DF,Wolves,21,2002,5,66,13,1.9,0.7,1,45,0,4,5,8,2.4,1.43,2.86,-1.43,-1.36,-0.99,1,1.71,-0.71,-0.7,-0.32
Matt Doherty,ie IRL,DF,Wolves,32,1992,30,2109,70,61.7,23.4,25,83,16,5,9,8,1.33,1.15,1.62,-0.47,-0.47,-0.19,1.19,1.4,-0.21,-0.21,0.44
Jeremy Doku,be BEL,"FW,MF",Manchester City,22,2002,29,1516,52,44.3,16.8,16,81,6,13,17,4,1.9,2.02,0.83,1.19,1.19,0.81,1.99,0.86,1.14,1.13,1.07
Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26,1998,34,1963,58,57.4,21.8,23,73,5,11,26,3,1.76,1.42,1.24,0.18,0.18,-0.31,1.17,1.43,-0.26,-0.26,-0.4
Patrick Dorgu,dk DEN,DF,Manchester Utd,19,2004,12,842,70,24.6,9.4,10,77,6,2,34,0,0.75,0.74,1.17,-0.43,-0.43,-0.22,1.34,1.05,0.29,0.29,0.43
Alfie Dorrington,eng ENG,DF,Tottenham,19,2005,1,14,14,0.4,0.2,0,,0,1,14,3,3,0,0,0,0,0.03,2,0,2,2.56,2.69
Abdoulaye Doucouré,ml MLI,MF,Everton,31,1993,33,2564,78,75,28.5,31,82,16,2,12,1,1.3,0.98,1.16,-0.18,-0.18,-0.49,1.09,1.22,-0.13,-0.13,-0.07
Cheick Doucouré,ml MLI,MF,Crystal Palace,24,2000,13,452,35,13.2,5,4,55,0,9,26,4,1.38,1,1.2,-0.2,-0.2,-0.23,1.36,1.54,-0.18,-0.17,-0.54
Flynn Downes,eng ENG,MF,Southampton,25,1999,27,2151,80,62.9,23.9,25,85,18,2,13,2,0.33,0.59,2.05,-1.46,-1.46,0.31,0.89,1.95,-1.07,-1.07,0.82
Tommy Doyle,eng ENG,MF,Wolves,22,2001,24,488,20,14.3,5.4,3,70,1,21,13,9,0.96,1.3,1.85,-0.56,-0.55,-0.18,1.28,1.91,-0.63,-0.63,-0.3
Radu Drăgușin,ro ROU,DF,Tottenham,22,2002,16,1252,78,36.6,13.9,14,83,11,2,43,7,0.88,1.8,2.09,-0.29,-0.29,-0.41,1.57,2.14,-0.57,-0.57,-0.71
Martin Dúbravka,sk SVK,GK,Newcastle Utd,35,1989,10,900,90,26.3,10,10,90,10,0,,24,2.1,2.3,1.2,1.1,1.1,0.74,2.02,1.08,0.94,0.94,0.62
Lewis Dunk,eng ENG,DF,Brighton,32,1991,25,2083,83,60.9,23.1,23,89,21,2,24,2,1.24,1.43,1.82,-0.39,-0.39,-1.47,1.39,1.53,-0.14,-0.14,-0.65
Jáder Durán,co COL,FW,Aston Villa,20,2003,20,638,32,18.7,7.1,4,60,0,16,25,1,1.5,1.69,1.69,0,0,-0.23,1.3,1.37,-0.07,-0.07,-0.28
Coby Ebere,de GER,MF,Everton,18,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
Claudio Echeverri,ar ARG,FW,Manchester City,18,2006,1,6,6,0.2,0.1,0,,0,1,6,0,3,0,0,0,0,-0.74,0,4,-4,-5.43,-5.97
Ederson,br BRA,GK,Manchester City,30,1993,26,2320,89,67.8,25.8,26,89,25,0,,4,2,1.9,1.01,0.89,0.89,0.48,1.9,1.11,0.79,0.79,0.78
George Edmundson,eng ENG,DF,Ipswich Town,26,1997,1,2,2,0.1,0,0,,0,1,2,0,0,0,0,0,0,1.21,0,0,0,0,1.01
Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,26,1998,2,115,58,3.4,1.3,1,70,0,1,45,0,0,0.77,1.54,-0.77,-0.78,-0.81,1.31,1.62,-0.31,-0.28,-0.6
Odsonne Édouard,fr FRA,FW,Leicester City,26,1998,4,29,7,0.8,0.3,0,,0,4,7,3,1,0,3.33,-3.33,-3.1,-1.88,0.33,5.33,-5,-4.64,-3.64
Samuel Edozie,eng ENG,"DF,FW",Southampton,21,2003,2,65,33,1.9,0.7,0,,0,2,33,0,0,0,0,0,0,1.61,2,0.43,1.57,1.46,2.88
Tom Edozie,eng ENG,MF,Wolves,18,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
Ronnie Edwards,eng ENG,DF,Southampton,21,2003,1,12,12,0.4,0.1,0,,0,1,12,2,0,0,10,-10,-7.5,-5.94,0,3,-3,-2.19,-0.82
Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22,2002,38,2501,66,73.1,27.8,31,76,12,7,22,0,1.71,1.62,1.26,0.36,0.36,0.16,1.22,1.35,-0.13,-0.13,-0.15
Harvey Elliott,eng ENG,MF,Liverpool,21,2003,18,371,21,10.8,4.1,2,79,1,16,13,12,2.06,2.68,1.46,1.22,1.21,0.03,2.73,1.49,1.24,1.23,0.09
Yunus Emre Konak,tr TUR,"FW,MF",Brentford,18,2006,10,42,4,1.2,0.5,0,,0,10,4,26,2.2,4,4,0,0,-0.24,2,3.4,-1.4,-1.56,-1.68
Julio Enciso,py PAR,"MF,FW",Ipswich Town,20,2004,13,869,67,25.4,9.7,12,71,2,1,12,0,0.46,0.93,1.86,-0.93,-0.93,0.37,1,1.69,-0.69,-0.7,0.42
Julio Enciso,py PAR,"MF,FW",Brighton,20,2004,12,294,25,8.6,3.3,2,67,0,10,16,7,1.5,0.91,1.21,-0.3,-0.31,-0.54,1.36,1.48,-0.15,-0.14,-0.28
Wataru Endo,jp JPN,"MF,DF",Liverpool,31,1993,20,273,14,8,3,1,68,0,19,11,17,2.5,1.33,1.67,-0.33,-0.33,-1.65,1.8,1.4,0.4,0.39,-0.82
Christian Eriksen,dk DEN,MF,Manchester Utd,32,1992,23,1061,46,31,11.8,11,80,5,12,15,12,1.13,1.44,1.36,0.08,0.08,0.5,1.55,1.54,0.01,0.01,0.07
Romain Esse,eng ENG,MF,Crystal Palace,19,2005,7,138,20,4,1.5,1,80,0,6,10,8,1.57,3.33,2,1.33,1.3,1.36,1.73,1.27,0.47,0.46,0.17
Pervis Estupiñán,ec ECU,DF,Brighton,26,1998,30,2402,80,70.2,26.7,26,88,22,4,27,1,1.57,1.76,1.65,0.11,0.11,-0.24,1.6,1.48,0.11,0.11,0.01
Evanilson,br BRA,FW,Bournemouth,24,1999,31,2319,75,67.8,25.8,28,80,7,3,23,1,1.45,1.32,1.12,0.19,0.19,-0.38,1.71,1.03,0.68,0.68,0.84
Jake Evans,eng ENG,FW,Leicester City,15,2008,4,24,6,0.7,0.3,0,,0,4,6,1,1.75,0,3.33,-3.33,-3.75,-2.53,0.33,0.67,-0.67,-0.57,0.46
Jonny Evans,nir NIR,DF,Manchester Utd,36,1988,7,315,45,9.2,3.5,3,77,1,4,21,10,2.43,2.29,0.57,1.71,1.71,2.18,1.6,0.86,0.74,0.75,0.86
Julian Eyestone,us USA,GK,Brentford,18,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26,1998,34,2588,76,75.7,28.8,31,81,13,3,28,0,1.5,1.35,1.18,0.17,0.17,0.71,1.58,1.2,0.38,0.38,0.33
Łukasz Fabiański,pl POL,GK,West Ham,39,1985,14,1160,83,33.9,12.9,13,86,12,1,45,21,1.5,1.32,1.63,-0.31,-0.31,0.17,1.31,1.74,-0.43,-0.43,-0.14
Wout Faes,be BEL,DF,Leicester City,26,1998,34,2815,83,82.3,31.3,30,90,30,4,29,1,0.71,0.93,2.01,-1.09,-1.09,0.85,0.88,1.83,-0.95,-0.94,0.5
Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20,2004,11,579,53,16.9,6.4,6,86,5,5,12,0,0.91,1.09,2.19,-1.09,-1.09,0.18,1.06,1.67,-0.61,-0.6,0.52
João Félix,pt POR,"FW,MF",Chelsea,24,1999,12,369,31,10.8,4.1,3,75,1,9,16,8,2.25,2.44,0.98,1.46,1.46,1.02,3.37,1.39,1.98,1.98,1.61
Evan Ferguson,ie IRL,FW,West Ham,19,2004,8,156,20,4.6,1.7,1,45,0,7,16,4,1.13,0,1.18,-1.18,-1.15,-0.77,1.12,0.76,0.35,0.36,0.72
Evan Ferguson,ie IRL,FW,Brighton,19,2004,13,246,19,7.2,2.7,2,65,0,11,11,2,0.92,1.48,2.59,-1.11,-1.1,-1.38,1.07,1.78,-0.7,-0.71,-0.88
Bruno Fernandes,pt POR,MF,Manchester Utd,29,1994,36,3018,84,88.2,33.5,35,85,28,1,32,1,1.17,1.22,1.28,-0.06,-0.06,1.73,1.45,1.35,0.1,0.1,1.1
Mateus Fernandes,pt POR,MF,Southampton,20,2004,36,2909,81,85.1,32.3,34,84,19,2,30,0,0.33,0.77,2.04,-1.27,-1.27,2.08,0.85,2.14,-1.29,-1.29,0.55
Enzo Fernández,ar ARG,MF,Chelsea,23,2001,36,2947,82,86.2,32.7,32,89,26,4,25,0,1.75,1.71,1.13,0.58,0.58,0.2,1.76,1.17,0.6,0.6,0.43
Jayce Fitzgerald,eng ENG,MF,Manchester Utd,17,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,
Mark Flekken,nl NED,GK,Brentford,31,1993,37,3275,89,95.8,36.4,37,89,36,0,,0,1.51,1.81,1.51,0.3,0.3,1.54,1.54,1.48,0.05,0.05,-0.97
Jack Fletcher,eng ENG,MF,Manchester Utd,17,2007,0,,,,,0,,0,0,,5,,,,,,,,,,,
Phil Foden,eng ENG,"MF,FW",Manchester City,24,2000,28,1777,63,52,19.7,20,81,10,8,20,5,1.54,1.52,1.22,0.3,0.3,-0.9,1.58,1.46,0.12,0.12,-0.86
Wes Foderingham,eng ENG,GK,West Ham,33,1991,0,,,,,0,,0,0,,9,,,,,,,,,,,
Wesley Fofana,fr FRA,DF,Chelsea,23,2000,14,1172,84,34.3,13,14,84,10,0,,1,2,1.92,1,0.92,0.92,0.56,1.78,1.2,0.59,0.59,0.08
Carlos Forbs,pt POR,"MF,FW",Wolves,20,2004,10,239,24,7,2.7,1,67,0,9,19,17,0.8,2.59,3.33,-0.74,-0.75,-0.39,1.19,3.11,-1.93,-1.97,-1.71
Fraser Forster,eng ENG,GK,Tottenham,36,1988,7,630,90,18.4,7,7,90,7,0,,11,0.71,2,2.14,-0.14,-0.14,-0.14,1.59,2.29,-0.7,-0.7,-0.72
Matheus França,br BRA,"MF,FW",Crystal Palace,20,2004,4,55,14,1.6,0.6,0,,0,4,14,7,1.25,3.33,0,3.33,3.27,3.33,1.83,0.67,1.17,1.22,0.93
Ryan Fraser,sct SCO,"FW,DF",Southampton,30,1994,8,306,38,8.9,3.4,4,60,0,4,17,5,0.25,1.18,2.94,-1.76,-1.76,-0.2,1.65,3,-1.35,-1.35,0.02
Benjamin Fredrick,ng NGA,DF,Brentford,19,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
Tyler Fredricson,eng ENG,DF,Manchester Utd,19,2005,2,165,83,4.8,1.8,2,83,1,0,,6,0,0.56,2.78,-2.22,-2.18,-2.02,1.44,1.61,-0.17,-0.17,-0.15
Niclas Füllkrug,de GER,FW,West Ham,31,1993,18,790,44,23.1,8.8,6,74,1,12,29,1,0.94,1.82,2.05,-0.23,-0.23,0.25,1.5,1.59,-0.1,-0.1,0.31
Cody Gakpo,nl NED,FW,Liverpool,25,1999,35,1935,55,56.6,21.5,23,73,6,12,21,0,2.2,2.09,1.16,0.93,0.93,-0.58,2.11,1,1.11,1.11,-0.09
Idrissa Gana Gueye,sn SEN,MF,Everton,34,1989,37,3063,83,89.6,34,35,86,25,2,21,0,1.27,1.09,1.15,-0.06,-0.06,-0.06,1.11,1.17,-0.06,-0.06,0.54
Andrés García,es ESP,"DF,MF",Aston Villa,21,2003,7,318,45,9.3,3.5,5,58,1,2,14,9,1.57,2,1.43,0.57,0.57,0.42,1.66,1.89,-0.2,-0.21,-0.41
Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20,2004,36,2199,61,64.3,24.4,23,81,14,13,26,0,1,1.07,1.48,-0.41,-0.41,-0.41,1.46,1.43,0.02,0.02,0.15
James Garner,eng ENG,"MF,DF",Everton,23,2001,21,1594,76,46.6,17.7,17,87,11,4,28,1,1.57,1.19,1.07,0.11,0.11,0.31,1.15,1.09,0.06,0.06,0.33
Joe Gauci,au AUS,GK,Aston Villa,24,2000,0,,,,,0,,0,0,,10,,,,,,,,,,,
Tyrique George,eng ENG,FW,Chelsea,18,2006,8,183,23,5.4,2,1,80,0,7,15,11,2.25,2,0,2,1.97,1.49,1.2,0.7,0.5,0.47,-0.08
Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,24,2000,34,2803,82,82,31.1,34,82,13,0,,0,1.74,1.58,1.09,0.48,0.48,0.92,1.19,1.29,-0.1,-0.1,-0.07
Billy Gilmour,sct SCO,MF,Brighton,23,2001,2,98,49,2.9,1.1,1,89,0,1,9,0,3,1.82,0.91,0.91,0.92,0.76,1.45,1.18,0.18,0.22,0.11
Ben Godfrey,eng ENG,DF,Ipswich Town,26,1998,3,159,53,4.6,1.8,2,54,0,1,51,8,0,0.56,5.56,-5,-5.09,-4.07,0.78,3.17,-2.39,-2.43,-1.5
Martial Godo,eng ENG,"FW,DF",Fulham,21,2003,2,24,12,0.7,0.3,0,,0,2,12,7,0.5,0,0,0,0,0,1,0.33,0.33,0.48,0.44
Michael Golding,eng ENG,MF,Leicester City,18,2006,1,1,1,0,0,0,,0,1,1,1,3,0,0,0,0,1.24,0,0,0,0,1.03
João Gomes,br BRA,MF,Wolves,23,2001,36,2974,83,87,33,35,84,18,1,45,0,1.08,1.36,1.76,-0.39,-0.39,0.01,1.1,1.5,-0.4,-0.4,-0.15
Rodrigo Gomes,pt POR,"DF,FW",Wolves,21,2003,25,810,32,23.7,9,7,76,1,18,16,9,1.2,2,2.22,-0.22,-0.22,0.23,1.18,1.79,-0.61,-0.61,-0.3
Toti Gomes,pt POR,DF,Wolves,25,1999,31,2614,84,76.4,29,30,87,27,1,14,1,1.32,1.52,1.55,-0.03,-0.03,1.53,1.16,1.43,-0.27,-0.27,0.48
Diego Gómez,py PAR,MF,Brighton,21,2003,16,516,32,15.1,5.7,4,72,0,12,19,1,1.88,2.81,2.28,0.53,0.52,0.4,2.46,1.6,0.86,0.86,0.88
Joe Gomez,eng ENG,DF,Liverpool,27,1997,9,519,58,15.2,5.8,6,77,4,3,19,10,2.56,2.93,1.38,1.55,1.56,0.44,2.74,0.93,1.81,1.82,0.79
Nicolás González,es ESP,MF,Manchester City,22,2002,11,760,69,22.2,8.4,9,82,5,2,12,3,2.27,2.02,0.83,1.19,1.18,0.58,1.96,1.01,0.95,0.94,0.52
Anthony Gordon,eng ENG,"FW,MF",Newcastle Utd,23,2001,34,2434,72,71.2,27,28,81,9,6,26,0,1.68,1.59,1.22,0.37,0.37,-0.63,1.69,1.18,0.51,0.51,0.11
Jimi Gower,eng ENG,MF,Arsenal,19,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,
Hubert Graczyk,pl POL,GK,Manchester Utd,21,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
Ryan Gravenberch,nl NED,MF,Liverpool,22,2002,37,3160,85,92.4,35.1,37,85,27,0,,0,2.27,2.25,1,1.25,1.25,0.91,2.17,0.95,1.22,1.22,0.96
Archie Gray,eng ENG,"DF,MF",Tottenham,18,2006,28,1751,63,51.2,19.5,19,88,17,9,10,10,1.11,1.54,2.1,-0.56,-0.57,-1.1,1.29,1.96,-0.66,-0.66,-1.12
Jack Grealish,eng ENG,"FW,MF",Manchester City,28,1995,20,721,36,21.1,8,7,81,2,13,12,12,2,2.13,1.25,0.88,0.87,0.17,1.85,1.4,0.45,0.45,-0.11
Jacob Greaves,eng ENG,DF,Ipswich Town,23,2000,25,2205,88,64.5,24.5,25,88,24,0,,2,0.4,0.78,2.16,-1.39,-1.39,-0.5,0.82,1.8,-0.98,-0.98,0.07
Brajan Gruda,de GER,"MF,FW",Brighton,20,2004,21,687,33,20.1,7.6,8,64,0,13,14,7,1.38,1.84,1.97,-0.13,-0.13,-0.39,1.42,1.68,-0.28,-0.27,-0.48
Albert Grønbaek,dk DEN,"FW,MF",Southampton,23,2001,4,143,36,4.2,1.6,2,66,0,2,6,2,0.75,1.25,1.88,-0.63,-0.63,0.99,0.5,3,-2.56,-2.56,-1.24
Gonçalo Guedes,pt POR,"MF,FW",Wolves,27,1996,29,995,34,29.1,11.1,10,67,1,19,17,4,0.93,1.44,2.25,-0.81,-0.81,-0.59,1.19,1.7,-0.51,-0.51,-0.19
Marc Guéhi,eng ENG,DF,Crystal Palace,24,2000,34,3059,90,89.4,34,34,90,33,0,,0,1.35,1.24,1.24,0,0,0,1.56,1.19,0.37,0.37,0.67
Luis Guilherme,br BRA,"MF,FW",West Ham,18,2006,12,150,13,4.4,1.7,1,45,0,11,10,22,0.5,1.18,2.94,-1.76,-1.8,-1.44,1.41,1.53,-0.06,-0.09,0.26
Bruno Guimarães,br BRA,MF,Newcastle Utd,26,1997,38,3271,86,95.6,36.3,38,86,21,0,,0,1.74,1.87,1.21,0.66,0.66,2.47,1.69,1.18,0.51,0.51,0.7
Marc Guiu,es ESP,FW,Chelsea,18,2006,3,73,24,2.1,0.8,0,,0,3,24,10,1.33,2.5,2.5,0,0,-0.56,1,1.88,-0.75,-0.76,-1.32
İlkay Gündoğan,de GER,MF,Manchester City,33,1990,33,2223,67,65,24.7,25,84,12,8,14,4,1.94,2.15,1.13,1.01,1.01,0.79,1.8,1.42,0.38,0.38,-0.44
Malo Gusto,fr FRA,DF,Chelsea,21,2003,32,1862,58,54.4,20.7,19,84,14,13,20,1,1.66,1.93,1.26,0.68,0.68,0.27,1.96,1.31,0.65,0.65,0.24
Joško Gvardiol,hr CRO,DF,Manchester City,22,2002,37,3277,89,95.8,36.4,36,90,33,1,45,1,1.92,1.92,1.13,0.8,0.8,1.43,1.82,1.19,0.63,0.63,2.34
Erling Haaland,no NOR,FW,Manchester City,24,2000,31,2736,88,80,30.4,31,88,25,0,,1,1.77,1.91,1.25,0.66,0.66,-0.39,1.85,1.33,0.52,0.52,-0.1
Lewis Hall,eng ENG,DF,Newcastle Utd,19,2004,27,2189,81,64,24.3,24,87,18,3,30,0,1.63,1.85,1.28,0.58,0.58,0.06,1.75,1.19,0.56,0.56,0.23
Ali Al Hamadi,iq IRQ,FW,Ipswich Town,22,2002,11,134,12,3.9,1.5,0,,0,11,12,2,0.82,0.67,3.33,-2.67,-2.69,-1.54,0.93,2.47,-1.53,-1.56,-0.57
Malachi Hardy,eng ENG,DF,Tottenham,16,2008,0,,,,,0,,0,0,,6,,,,,,,,,,,
Marcus Harness,eng ENG,MF,Ipswich Town,28,1996,2,45,23,1.3,0.5,0,,0,2,23,0,0,0,4,-4,-4,-2.83,0.2,2.6,-2.4,-2.37,-1.38
Archie Harris,wls WAL,DF,Bournemouth,19,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
Elyh Harrison,eng ENG,GK,Manchester Utd,18,2006,0,,,,,0,,0,0,,6,,,,,,,,,,,
Jack Harrison,eng ENG,FW,Everton,27,1996,34,2076,61,60.7,23.1,24,76,8,10,26,4,1.21,0.87,1.17,-0.3,-0.3,-0.64,1.03,1.35,-0.32,-0.32,-0.51
Taylor Harwood-Bellis,eng ENG,DF,Southampton,22,2002,34,2825,83,82.6,31.4,32,87,27,2,28,0,0.35,0.64,2.07,-1.43,-1.43,0.84,0.83,2.13,-1.3,-1.3,0.42
Kai Havertz,de GER,"FW,MF",Arsenal,25,1999,23,1875,82,54.8,20.8,21,88,18,2,18,1,2.13,1.92,0.96,0.96,0.96,0.09,1.64,0.93,0.72,0.72,0.1
Isaac Heath,eng ENG,MF,Everton,19,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,
Tom Heaton,eng ENG,GK,Manchester Utd,38,1986,0,,,,,0,,0,0,,8,,,,,,,,,,,
Ayden Heaven,eng ENG,DF,Arsenal,17,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,
Ayden Heaven,eng ENG,DF,Manchester Utd,17,2006,4,170,43,5,1.9,2,58,0,2,28,4,1.75,0.53,0.53,0,0,0.28,1.74,0.89,0.84,0.83,0.91
Jan Paul van Hecke,nl NED,DF,Brighton,24,2000,34,2958,87,86.5,32.9,33,89,30,1,9,0,1.59,1.67,1.43,0.24,0.24,0.44,1.51,1.35,0.16,0.17,0.42
Hwang Hee-chan,kr KOR,"MF,FW",Wolves,28,1996,21,661,31,19.3,7.3,5,69,1,16,20,8,0.86,1.1,2.6,-1.51,-1.5,-1.37,1.16,1.74,-0.58,-0.57,-0.24
Dean Henderson,eng ENG,GK,Crystal Palace,27,1997,38,3420,90,100,38,38,90,38,0,,0,1.39,1.34,1.34,0,0,,1.59,1.29,0.3,0.3,
Wayne Hennessey,wls WAL,GK,Nott'ham Forest,37,1987,0,,,,,0,,0,0,,5,,,,,,,,,,,
Rico Henry,jm JAM,DF,Brentford,27,1997,5,99,20,2.9,1.1,0,,0,5,20,5,2,3.64,2.73,0.91,0.91,0.69,2,1.82,0.27,0.24,0.15
Jack Henry-Francis,ie IRL,MF,Arsenal,20,2003,0,,,,,0,,0,0,,6,,,,,,,,,,,
Mads Hermansen,dk DEN,GK,Leicester City,24,2000,27,2385,88,69.7,26.5,27,88,26,0,,0,0.56,0.87,2.19,-1.32,-1.32,-0.28,0.85,2.04,-1.2,-1.2,-0.54
Son Heung-min,kr KOR,FW,Tottenham,32,1992,30,2110,70,61.7,23.4,24,79,11,6,35,0,1.13,1.88,1.5,0.38,0.38,1.07,1.55,1.67,-0.12,-0.12,0
Aaron Hickey,sct SCO,"DF,MF",Brentford,22,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
James Hill,eng ENG,DF,Bournemouth,22,2002,10,448,45,13.1,5,6,68,1,4,11,21,1.3,1.4,1.8,-0.4,-0.4,-0.83,2.1,1.7,0.38,0.39,-0.02
Jack Hinshelwood,eng ENG,"MF,DF",Brighton,19,2005,26,1842,71,53.9,20.5,22,82,12,4,11,0,1.73,1.9,1.46,0.44,0.44,0.55,1.56,1.45,0.1,0.1,-0.01
George Hirst,sct SCO,FW,Ipswich Town,25,1999,26,661,25,19.3,7.3,5,72,0,21,14,0,0.5,1.37,2.19,-0.82,-0.82,0.49,0.97,2.05,-1.08,-1.08,-0.08
Rob Holding,eng ENG,DF,Crystal Palace,28,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,
Mason Holgate,jm JAM,"FW,DF",Everton,27,1996,1,6,6,0.2,0.1,0,,0,1,6,1,0,0,10,-10,-15,-14.97,0,1,-1,-1.02,-0.9
Harry Howell,eng ENG,FW,Brighton,15,2008,1,7,7,0.2,0.1,0,,0,1,7,4,3,10,0,10,12.86,12.7,8,0,8,10.62,10.53
Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,23,2000,31,2194,71,64.2,24.4,25,81,8,6,28,1,1.74,1.56,0.94,0.61,0.62,0.84,1.18,1.1,0.07,0.07,0.45
Will Hughes,eng ENG,MF,Crystal Palace,29,1995,33,2108,64,61.6,23.4,24,76,3,9,32,0,1.45,1.32,1.32,0,0,0,1.62,1.31,0.31,0.31,0.04
Dean Huijsen,es ESP,DF,Bournemouth,19,2005,32,2427,76,71,27,26,90,26,6,15,6,1.5,1.56,1.15,0.41,0.41,0.32,1.65,1.37,0.28,0.28,-0.44
